"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.9739754854479e-33,1.35782949831626,0.404,0.15,9.13736183369036e-29,"Endothelial","CARD8"
6.56593744955071e-33,1.36922145538819,0.494,0.217,1.50970599777519e-28,"Endothelial","BCR"
1.22885316195863e-32,1.12076876891445,0.645,0.359,2.82550207529147e-28,"Endothelial","LYST"
5.44229764282576e-32,1.95225263822748,0.265,0.084,1.25134749701493e-27,"Endothelial","PLXNA4"
6.26200938108759e-32,1.75329391285843,0.32,0.107,1.43982381699347e-27,"Endothelial","TLE1"
9.41696650542054e-32,1.49563878091328,0.474,0.207,2.16524310859134e-27,"Endothelial","CH507-528H12.1"
1.12801377362176e-31,1.55086006570668,0.311,0.107,2.59364206968851e-27,"Endothelial","PDK4"
1.54860678035996e-31,1.77486453477719,0.314,0.094,3.56071157008166e-27,"Endothelial","ABCC4"
2.18123501383454e-31,1.64123673412058,0.334,0.126,5.01531366730977e-27,"Endothelial","ABCG1"
2.24747395315689e-31,1.76553957671364,0.297,0.097,5.16761686049364e-27,"Endothelial","SAMD12"
3.18579755003748e-31,2.12553172583709,0.308,0.1,7.32510430680118e-27,"Endothelial","ADIPOR2"
6.21230925880025e-31,2.0574700735581,0.294,0.097,1.42839626787594e-26,"Endothelial","C1orf21"
7.27996294118243e-31,1.47568183719197,0.453,0.207,1.67388187906608e-26,"Endothelial","CYTH1"
1.67492465997809e-30,1.23158991140387,0.526,0.264,3.85115427068761e-26,"Endothelial","PTPN14"
4.72830471790925e-30,1.61745272590247,0.305,0.103,1.08717910378887e-25,"Endothelial","ETS1"
1.00925519989389e-29,0.883440380934534,0.747,0.451,2.32058048111602e-25,"Endothelial","BAZ2B"
1.22333763184066e-29,1.44040151056075,0.494,0.253,2.81282021689123e-25,"Endothelial","TFPI"
1.2289448828801e-29,1.60630875411571,0.392,0.153,2.82571296920622e-25,"Endothelial","DNM3"
5.99939284912737e-29,1.22466303493079,0.529,0.265,1.37944039779986e-24,"Endothelial","MAST4"
8.95628619789176e-29,1.70387311596347,0.392,0.167,2.05931888548125e-24,"Endothelial","SIK2"
9.55964767069714e-29,2.37492045501953,0.317,0.121,2.19804978892339e-24,"Endothelial","AKAP12"
2.45350899717492e-28,1.29103130666026,0.363,0.146,5.6413532372043e-24,"Endothelial","EPHA4"
2.67474723720985e-28,1.20601511150245,0.497,0.233,6.1500463225166e-24,"Endothelial","IRAK3"
2.84270415389312e-28,1.55707742745586,0.395,0.167,6.53622966104645e-24,"Endothelial","HEG1"
3.83820228571609e-28,1.02107155514721,0.427,0.186,8.82517851554701e-24,"Endothelial","B2M"
4.25486365065797e-28,1.61745700786039,0.276,0.094,9.78320799195786e-24,"Endothelial","FOSL2"
8.73229593993227e-28,1.74411137855988,0.32,0.122,2.00781680546863e-23,"Endothelial","PGM5"
1.07847120039856e-27,1.55537206711745,0.328,0.12,2.4797288310764e-23,"Endothelial","RP11-382A20.3"
2.28429412739112e-27,1.23275869451648,0.491,0.24,5.25227748711041e-23,"Endothelial","LAMB1"
2.32054839266206e-27,1.12015274670431,0.52,0.255,5.33563691924787e-23,"Endothelial","NRP1"
4.36683606986356e-27,1.22639144904698,0.424,0.184,1.00406661754373e-22,"Endothelial","ITGA9"
4.82196772627795e-27,0.939109904759428,0.674,0.395,1.10871503930309e-22,"Endothelial","SYNE2"
8.34602972854528e-27,1.49225378901672,0.381,0.157,1.91900261548442e-22,"Endothelial","ACACB"
1.12113389966987e-26,0.697165076918818,0.802,0.573,2.57782317551093e-22,"Endothelial","PTK2"
1.65653012083512e-26,1.77265013957615,0.262,0.082,3.80885970683619e-22,"Endothelial","KLF2"
2.52868377115787e-26,0.937485485511301,0.706,0.454,5.81420259502328e-22,"Endothelial","ARHGAP26"
4.1382260789576e-26,1.03294818356055,0.631,0.37,9.5150232233472e-22,"Endothelial","RAI14"
9.40709306862878e-26,1.50548010558669,0.413,0.188,2.16297290926982e-21,"Endothelial","CPNE8"
2.16291738933553e-25,1.35172610779942,0.291,0.109,4.97319595329919e-21,"Endothelial","DDX60L"
2.69301075421787e-25,0.796966290099954,0.762,0.545,6.19203962717314e-21,"Endothelial","ASAP1"
5.06412960170739e-25,1.0699117355959,0.509,0.256,1.16439531932058e-20,"Endothelial","ARGLU1"
5.51427930898508e-25,1.7225997244541,0.334,0.131,1.26789824151494e-20,"Endothelial","PDCD4"
6.57174448928502e-25,1.11100493485213,0.372,0.153,1.5110412104213e-20,"Endothelial","AC007319.1"
7.24105892004556e-25,1.05837232088543,0.491,0.249,1.66493667748607e-20,"Endothelial","TEAD1"
8.49176293170953e-25,1.31261296836964,0.477,0.242,1.95251105088797e-20,"Endothelial","HMBOX1"
9.22036806321279e-25,2.01413834066323,0.282,0.093,2.12003922877452e-20,"Endothelial","CHST15"
1.22205473821892e-24,1.58046311572145,0.294,0.113,2.80987045958675e-20,"Endothelial","ZBTB46"
3.65977819515125e-24,1.392250748554,0.36,0.145,8.41492800411127e-20,"Endothelial","LMBR1"
4.12204881598695e-24,1.59370604048018,0.299,0.117,9.47782684259879e-20,"Endothelial","SH3BP5"
5.4181548964298e-24,1.21634844333958,0.41,0.198,1.2457963553361e-19,"Endothelial","WWP1"
7.90842659502627e-24,1.38214480250084,0.334,0.136,1.81838452699439e-19,"Endothelial","CNOT6L"
8.90393072130271e-24,1.56772453194079,0.39,0.174,2.04728079074913e-19,"Endothelial","ADGRL2"
1.00492747695576e-23,0.947283500300814,0.645,0.419,2.31062974776439e-19,"Endothelial","GMDS"
1.36998834831212e-23,1.43514694103191,0.366,0.161,3.15001420927407e-19,"Endothelial","CTNND1"
