"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Vascular Smooth Muscle","ADNP","disease_vs_control",0.438658637152543,0.285294865656133,0.252,0.144,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PAFAH1B1","disease_vs_control",0.43919348796407,0.19626752478546,0.506,0.346,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MOSPD2","disease_vs_control",0.43974450246472,-0.585125261604695,0.053,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TRAPPC10","disease_vs_control",0.440493530984973,-0.303871617714027,0.174,0.124,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ATRX","disease_vs_control",0.440962098501013,0.103267613426894,0.498,0.359,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","NIPA1","disease_vs_control",0.441302487561259,0.877312112289959,0.051,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GLIPR1","disease_vs_control",0.441563474566286,0.589565750429768,0.058,0.026,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CTBS","disease_vs_control",0.441650689336362,0.925934274815563,0.055,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CLIP1","disease_vs_control",0.441795408043738,-0.168811954713159,0.344,0.288,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ELP4","disease_vs_control",0.441888927673753,0.227493415684166,0.186,0.111,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","LRIG3","disease_vs_control",0.442317803573384,-0.495872538928279,0.085,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","N4BP2L1","disease_vs_control",0.442564157716463,-0.10911575413752,0.107,0.098,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","AKAP13","disease_vs_control",0.443012092302763,0.131536921573569,0.582,0.451,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RP11-373N22.3","disease_vs_control",0.443114998002455,-0.13114493259854,0.047,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ATP6V1H","disease_vs_control",0.443172911394008,0.0739559970615433,0.131,0.118,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","UBE3C","disease_vs_control",0.444116400660299,0.271384369205352,0.299,0.196,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ZNF444","disease_vs_control",0.444145729128402,0.807881487684856,0.051,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","KANK2","disease_vs_control",0.444316541036551,-0.234843555383163,0.242,0.196,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DPP8","disease_vs_control",0.44450985081696,0.45629305071494,0.16,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ANKS3","disease_vs_control",0.445031443524509,0.277098700705202,0.119,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","UPF3B","disease_vs_control",0.445696120565102,0.428163284111155,0.056,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RABL2A","disease_vs_control",0.446569949114434,-0.173233047287541,0.054,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CAPN1","disease_vs_control",0.446932778450159,0.45661852203117,0.056,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","OLFML2B","disease_vs_control",0.447164251684728,-0.319114444341597,0.049,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TSG101","disease_vs_control",0.447169816771269,0.493302279156818,0.139,0.078,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MIR193BHG","disease_vs_control",0.447226150243865,-0.0576539005981807,0.084,0.078,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CSNK1G2","disease_vs_control",0.447395217154715,0.378038044694704,0.071,0.046,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CLCN6","disease_vs_control",0.447783453551966,0.481384460592502,0.061,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","KIAA1328","disease_vs_control",0.447866308620295,0.274273732524794,0.309,0.222,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","HNRNPC","disease_vs_control",0.448163976391637,-0.182900339304302,0.273,0.216,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PAPOLA","disease_vs_control",0.448233852595871,-0.15121748134353,0.163,0.144,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RAD17","disease_vs_control",0.448351261779787,0.158145094364166,0.078,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SLC25A29","disease_vs_control",0.448606324139819,-0.211152049573462,0.051,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MECP2","disease_vs_control",0.449045675181869,0.359626760390992,0.196,0.131,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","HNRNPU","disease_vs_control",0.449195471071139,-0.290288723010932,0.149,0.131,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DZIP1","disease_vs_control",0.449349938889139,0.513691922351215,0.064,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RARS","disease_vs_control",0.449483297206741,0.183066019426001,0.114,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ASPSCR1","disease_vs_control",0.449548082253599,0.289075356278601,0.06,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","APBB2","disease_vs_control",0.44996531053518,-0.0556361450000726,0.64,0.536,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MON2","disease_vs_control",0.450154438996266,0.087575497290735,0.551,0.405,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FAM168B","disease_vs_control",0.450312687416759,0.453309397219685,0.085,0.046,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TOR1AIP2","disease_vs_control",0.450841856294937,0.58022165177853,0.061,0.026,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MEGF6","disease_vs_control",0.451053412890287,-0.325693396335449,0.28,0.261,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RNPEP","disease_vs_control",0.451088462281237,0.233265848378514,0.071,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RNF111","disease_vs_control",0.451172051276434,0.199204905412721,0.171,0.098,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ATP8B2","disease_vs_control",0.451499714677469,0.205760491530947,0.16,0.098,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PDCD10","disease_vs_control",0.451960892701951,-0.0240409594819231,0.063,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","IST1","disease_vs_control",0.452088907529348,0.247736842652833,0.154,0.098,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","JARID2","disease_vs_control",0.452296380803867,-0.339729683230796,0.136,0.118,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","AHCTF1","disease_vs_control",0.452353089144454,-0.234643945219563,0.297,0.248,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","POU6F2","disease_vs_control",0.4524222525567,0.618713697315277,0.105,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","THOC1","disease_vs_control",0.452542590665958,0.309173825485966,0.161,0.105,1,"Seurat_LR_cell_level_exploratory"
